outcome,weight_class,f1_name,f2_name,winner,loser,method,method_details,end_round,time,total_time
win,Bantamweight,sirwan kakai,danny martinez,sirwan kakai,danny martinez,U-DEC,,3,5:00,900.0
win,Featherweight,conor mcgregor,chad mendes,conor mcgregor,chad mendes,KO/TKO,Punch,2,4:57,597.0
win,Welterweight,robbie lawler,rory macdonald,robbie lawler,rory macdonald,KO/TKO,Punch,5,1:00,1260.0
win,Featherweight,jeremy stephens,dennis bermudez,jeremy stephens,dennis bermudez,KO/TKO,Flying Knee,3,0:32,632.0
win,Welterweight,gunnar nelson,brandon thatch,gunnar nelson,brandon thatch,SUB,Rear Naked Choke,1,2:54,174.0
win,Bantamweight,thomas almeida,brad pickett,thomas almeida,brad pickett,KO/TKO,Flying Knee,2,0:29,329.0
win,Welterweight,matt brown,tim means,matt brown,tim means,SUB,Guillotine Choke,1,4:44,284.0
win,Welterweight,alex garcia,mike swick,alex garcia,mike swick,U-DEC,,3,5:00,900.0
win,Welterweight,john howard,cathal pendred,john howard,cathal pendred,S-DEC,,3,5:00,900.0
win,Bantamweight,cody garbrandt,henry briones,cody garbrandt,henry briones,U-DEC,,3,5:00,900.0
win,Flyweight,louis smolka,neil seery,louis smolka,neil seery,U-DEC,,3,5:00,900.0
win,Lightweight,cody pfister,yosdenis cedeno,cody pfister,yosdenis cedeno,U-DEC,,3,5:00,900.0
win,Welterweight,carlos condit,thiago alves,carlos condit,thiago alves,KO/TKO,,2,5:00,600.0
win,Featherweight,charles oliveira,nik lentz,charles oliveira,nik lentz,SUB,Guillotine Choke,3,1:10,670.0
win,Welterweight,alex oliveira,kj noons,alex oliveira,kj noons,SUB,Rear Naked Choke,1,2:51,171.0
win,Light Heavyweight,francimar barroso,ryan jimmo,francimar barroso,ryan jimmo,U-DEC,,3,5:00,900.0
win,Lightweight,francisco trinaldo,norman parke,francisco trinaldo,norman parke,U-DEC,,3,5:00,900.0
win,Welterweight,darren till,wendell oliveira marques,darren till,wendell oliveira marques,KO/TKO,Elbows,2,1:37,397.0
win,Featherweight,rony jason,damon jackson,rony jason,damon jackson,Overturned,Triangle Choke,1,3:31,211.0
win,Flyweight,jussier formiga,wilson reis,jussier formiga,wilson reis,U-DEC,,3,5:00,900.0
win,Welterweight,nicolas dalby,elizeu zaleski dos santos,nicolas dalby,elizeu zaleski dos santos,S-DEC,,3,5:00,900.0
win,Featherweight,mirsad bektic,lucas martins,mirsad bektic,lucas martins,KO/TKO,Punches,2,0:30,330.0
win,Women's Strawweight,juliana lima,ericka almeida,juliana lima,ericka almeida,U-DEC,,3,5:00,900.0
win,Welterweight,tom breese,luiz dutra,tom breese,luiz dutra,KO/TKO,Punches,1,4:58,298.0
win,Women's Strawweight,joanna jedrzejczyk,jessica penne,joanna jedrzejczyk,jessica penne,KO/TKO,Punches,3,4:22,862.0
win,Featherweight,tatsuya kawajiri,dennis siver,tatsuya kawajiri,dennis siver,U-DEC,,3,5:00,900.0
win,Welterweight,peter sobotta,steve kennedy,peter sobotta,steve kennedy,SUB,Rear Naked Choke,1,2:57,177.0
win,Lightweight,nick hein,lukasz sajewski,nick hein,lukasz sajewski,U-DEC,,3,5:00,900.0
win,Featherweight,makwan amirkhani,masio fullen,makwan amirkhani,masio fullen,SUB,Rear Naked Choke,1,1:41,101.0
win,Lightweight,mairbek taisumov,alan patrick,mairbek taisumov,alan patrick,KO/TKO,Kick,2,1:30,390.0
win,Featherweight,arnold allen,alan omer,arnold allen,alan omer,SUB,Guillotine Choke,3,1:41,701.0
win,Featherweight,noad lahat,niklas backstrom,noad lahat,niklas backstrom,M-DEC,,3,5:00,900.0
win,Middleweight,scott askham,antonio dos santos,scott askham,antonio dos santos,KO/TKO,Punch,1,2:52,172.0
win,Lightweight,magomed mustafaev,piotr hallmann,magomed mustafaev,piotr hallmann,KO/TKO,,2,3:24,504.0
win,Bantamweight,taylor lapilus,yuta sasaki,taylor lapilus,yuta sasaki,KO/TKO,Punches,2,1:26,386.0
win,Bantamweight,tj dillashaw,renan barao,tj dillashaw,renan barao,KO/TKO,Punches,4,0:35,935.0
win,Women's Bantamweight,miesha tate,jessica eye,miesha tate,jessica eye,U-DEC,,3,5:00,900.0
win,Lightweight,edson barboza,paul felder,edson barboza,paul felder,U-DEC,,3,5:00,900.0
win,Lightweight,joe lauzon,takanori gomi,joe lauzon,takanori gomi,KO/TKO,Punches,1,2:37,157.0
win,Light Heavyweight,tom lawlor,gian villante,tom lawlor,gian villante,KO/TKO,Punch,2,0:27,327.0
win,Lightweight,jim miller,danny castillo,jim miller,danny castillo,S-DEC,,3,5:00,900.0
win,Welterweight,ben saunders,kenny robertson,ben saunders,kenny robertson,S-DEC,,3,5:00,900.0
win,Bantamweight,bryan caraway,eddie wineland,bryan caraway,eddie wineland,U-DEC,,3,5:00,900.0
win,Lightweight,james krause,daron cruickshank,james krause,daron cruickshank,SUB,Rear Naked Choke,1,1:27,87.0
win,Lightweight,andrew holbrook,ramsey nijem,andrew holbrook,ramsey nijem,S-DEC,,3,5:00,900.0
win,Welterweight,stephen thompson,jake ellenberger,stephen thompson,jake ellenberger,KO/TKO,Kick,1,4:29,269.0
win,Welterweight,kamaru usman,hayder hassan,kamaru usman,hayder hassan,SUB,Arm Triangle,2,1:19,379.0
win,Welterweight,michael graves,vicente luque,michael graves,vicente luque,U-DEC,,3,5:00,900.0
win,Welterweight,jorge masvidal,cezar ferreira,jorge masvidal,cezar ferreira,KO/TKO,Elbow,1,4:22,262.0
win,Women's Strawweight,michelle waterson-gomez,angela magana,michelle waterson-gomez,angela magana,SUB,Rear Naked Choke,3,2:38,758.0
win,Featherweight,maximo blanco,mike de la torre,maximo blanco,mike de la torre,KO/TKO,Punch,1,0:16,16.0
win,Middleweight,josh samman,caio magalhaes,josh samman,caio magalhaes,SUB,Rear Naked Choke,1,2:52,172.0
