outcome,weight_class,f1_name,f2_name,winner,loser,method,method_details,end_round,time,total_time
win,Heavyweight,cheick kongo,mirko filipovic,cheick kongo,mirko filipovic,U-DEC,,3,5:00,900.0
win,Welterweight,marcus davis,paul taylor,marcus davis,paul taylor,SUB,Armbar,1,4:14,254.0
win,Light Heavyweight,houston alexander,alessio sakara,houston alexander,alessio sakara,KO/TKO,Knee,1,1:01,61.0
win,Lightweight,gleison tibau,terry etim,gleison tibau,terry etim,U-DEC,,3,5:00,900.0
win,Light Heavyweight,thiago silva,tomasz drwal,thiago silva,tomasz drwal,KO/TKO,Punches,2,4:23,563.0
win,Lightweight,dennis siver,naoyuki kotani,dennis siver,naoyuki kotani,KO/TKO,Punch,2,2:04,424.0
win,Welterweight,jess liaudin,anthony torres,jess liaudin,anthony torres,KO/TKO,Punches,1,4:10,250.0
win,Middleweight,anderson silva,rich franklin,anderson silva,rich franklin,KO/TKO,Knees,2,1:07,367.0
win,Heavyweight,tim sylvia,brandon vera,tim sylvia,brandon vera,U-DEC,,3,5:00,900.0
win,Lightweight,alvin robinson,jorge gurgel,alvin robinson,jorge gurgel,U-DEC,,3,5:00,900.0
win,Light Heavyweight,stephan bonnar,eric schafer,stephan bonnar,eric schafer,KO/TKO,Punches,2,2:47,467.0
win,Middleweight,alan belcher,kalib starnes,alan belcher,kalib starnes,KO/TKO,,2,1:39,399.0
win,Middleweight,yushin okami,jason macdonald,yushin okami,jason macdonald,U-DEC,,3,5:00,900.0
win,Middleweight,demian maia,ryan jensen,demian maia,ryan jensen,SUB,Rear Naked Choke,1,2:40,160.0
win,Welterweight,joshua burkman,forrest petz,joshua burkman,forrest petz,S-DEC,,3,5:00,900.0
win,Lightweight,matt grice,jason black,matt grice,jason black,S-DEC,,3,5:00,900.0
win,Lightweight,kenny florian,din thomas,kenny florian,din thomas,SUB,Rear Naked Choke,1,4:31,271.0
win,Middleweight,chris leben,terry martin,chris leben,terry martin,KO/TKO,Punch,3,3:56,836.0
win,Lightweight,nate diaz,junior assuncao,nate diaz,junior assuncao,SUB,Guillotine Choke,1,4:10,250.0
win,Middleweight,nate quarry,pete sell,nate quarry,pete sell,KO/TKO,Punch,3,0:44,644.0
win,Welterweight,luke cummo,edilberto de oliveira,luke cummo,edilberto de oliveira,KO/TKO,Punches,1,1:45,105.0
win,Lightweight,cole miller,leonard garcia,cole miller,leonard garcia,U-DEC,,3,5:00,900.0
win,Lightweight,gray maynard,joe veres,gray maynard,joe veres,KO/TKO,Punch,1,0:09,9.0
win,Welterweight,thiago alves,kuniyoshi hironaka,thiago alves,kuniyoshi hironaka,KO/TKO,Knee,2,4:04,544.0
win,Welterweight,dustin hazelett,jonathan goulet,dustin hazelett,jonathan goulet,SUB,Armbar,1,1:14,74.0
win,Light Heavyweight,rashad evans,michael bisping,rashad evans,michael bisping,S-DEC,,3,5:00,900.0
win,Light Heavyweight,thiago silva,houston alexander,thiago silva,houston alexander,KO/TKO,Punches,1,3:25,205.0
win,Welterweight,karo parisyan,ryo chonan,karo parisyan,ryo chonan,U-DEC,,3,5:00,900.0
win,Middleweight,ed herman,joe doerksen,ed herman,joe doerksen,KO/TKO,Punch,3,0:39,639.0
win,Lightweight,frankie edgar,spencer fisher,frankie edgar,spencer fisher,U-DEC,,3,5:00,900.0
win,Welterweight,thiago alves,chris lytle,thiago alves,chris lytle,KO/TKO,,2,5:00,600.0
win,Lightweight,joe lauzon,jason reinhardt,joe lauzon,jason reinhardt,SUB,Rear Naked Choke,1,1:14,74.0
win,Lightweight,marcus aurelio,luke caudillo,marcus aurelio,luke caudillo,KO/TKO,Punches,1,4:29,269.0
win,Welterweight,akihiro gono,tamdan mccrory,akihiro gono,tamdan mccrory,SUB,Armbar,2,3:19,499.0
win,Lightweight,roger huerta,clay guida,roger huerta,clay guida,SUB,Rear Naked Choke,3,0:51,651.0
win,Welterweight,mac danzig,tommy speer,mac danzig,tommy speer,SUB,Rear Naked Choke,1,2:01,121.0
win,Welterweight,war machine,jared rollins,war machine,jared rollins,KO/TKO,Punches,3,2:01,721.0
win,Welterweight,george sotiropoulos,billy miles,george sotiropoulos,billy miles,SUB,Rear Naked Choke,1,1:36,96.0
win,Welterweight,ben saunders,dan barrera,ben saunders,dan barrera,U-DEC,,3,5:00,900.0
win,Welterweight,troy mandaloniz,richie hightower,troy mandaloniz,richie hightower,KO/TKO,Punch,1,4:20,260.0
win,Welterweight,matt arroyo,john kolosci,matt arroyo,john kolosci,SUB,Armbar,1,4:42,282.0
win,Welterweight,roman mitichyan,dorian price,roman mitichyan,dorian price,SUB,Ankle Lock,1,0:23,23.0
win,Welterweight,jonathan goulet,paul georgieff,jonathan goulet,paul georgieff,SUB,Rear Naked Choke,1,4:42,282.0
win,Lightweight,bj penn,joe stevenson,bj penn,joe stevenson,SUB,Rear Naked Choke,2,4:02,542.0
win,Heavyweight,fabricio werdum,gabriel gonzaga,fabricio werdum,gabriel gonzaga,KO/TKO,Punches,2,4:34,574.0
win,Welterweight,marcus davis,jess liaudin,marcus davis,jess liaudin,KO/TKO,Punch,1,1:04,64.0
win,Light Heavyweight,wilson gouveia,jason lambert,wilson gouveia,jason lambert,KO/TKO,Punch,2,0:37,337.0
win,Middleweight,jorge rivera,kendall grove,jorge rivera,kendall grove,KO/TKO,Punches,1,1:20,80.0
win,Heavyweight,antoni hardonk,colin robinson,antoni hardonk,colin robinson,KO/TKO,Punch,1,0:17,17.0
win,Welterweight,paul kelly,paul taylor,paul kelly,paul taylor,U-DEC,,3,5:00,900.0
win,Light Heavyweight,alessio sakara,james lee,alessio sakara,james lee,KO/TKO,Punches,1,1:30,90.0
win,Lightweight,sam stout,per eklund,sam stout,per eklund,U-DEC,,3,5:00,900.0
win,Welterweight,mike swick,joshua burkman,mike swick,joshua burkman,M-DEC,,3,5:00,900.0
win,Middleweight,patrick cote,drew mcfedries,patrick cote,drew mcfedries,KO/TKO,Punches,1,1:44,104.0
win,Lightweight,thiago tavares,michihiro omigawa,thiago tavares,michihiro omigawa,U-DEC,,3,5:00,900.0
win,Lightweight,nate diaz,alvin robinson,nate diaz,alvin robinson,SUB,Triangle Choke,1,3:39,219.0
win,Lightweight,kurt pellegrino,alberto crane,kurt pellegrino,alberto crane,KO/TKO,Punches,2,1:55,415.0
win,Lightweight,gray maynard,dennis siver,gray maynard,dennis siver,U-DEC,,3,5:00,900.0
win,Lightweight,jeremy stephens,cole miller,jeremy stephens,cole miller,KO/TKO,Elbows,2,4:44,584.0
win,Lightweight,corey hill,joe veres,corey hill,joe veres,KO/TKO,Punches,2,0:37,337.0
win,Lightweight,matt wiman,justin buchholz,matt wiman,justin buchholz,SUB,Rear Naked Choke,1,2:56,176.0
win,Welterweight,georges st-pierre,matt hughes,georges st-pierre,matt hughes,SUB,Armbar,2,4:54,594.0
win,Light Heavyweight,chuck liddell,wanderlei silva,chuck liddell,wanderlei silva,U-DEC,,3,5:00,900.0
win,Heavyweight,eddie sanchez,soa palelei,eddie sanchez,soa palelei,KO/TKO,Punches,3,3:24,804.0
win,Light Heavyweight,lyoto machida,rameau thierry sokoudjou,lyoto machida,rameau thierry sokoudjou,SUB,Arm Triangle,2,4:20,560.0
win,Lightweight,rich clementi,melvin guillard,rich clementi,melvin guillard,SUB,Rear Naked Choke,1,4:40,280.0
win,Light Heavyweight,james irvin,luiz cane,james irvin,luiz cane,DQ,,1,1:51,111.0
win,Lightweight,manvel gamburyan,nate mohr,manvel gamburyan,nate mohr,SUB,Ankle Lock,1,1:31,91.0
win,Middleweight,dean lister,jordan radev,dean lister,jordan radev,U-DEC,,3,5:00,900.0
win,Welterweight,roan carneiro,tony desouza,roan carneiro,tony desouza,KO/TKO,Punches,2,3:33,513.0
win,Lightweight,mark bocek,doug evans,mark bocek,doug evans,U-DEC,,3,5:00,900.0
win,Middleweight,anderson silva,dan henderson,anderson silva,dan henderson,SUB,Rear Naked Choke,2,4:52,592.0
win,Heavyweight,heath herring,cheick kongo,heath herring,cheick kongo,S-DEC,,3,5:00,900.0
win,Middleweight,chris leben,alessio sakara,chris leben,alessio sakara,KO/TKO,Punches,1,3:16,196.0
win,Middleweight,yushin okami,evan tanner,yushin okami,evan tanner,KO/TKO,Knee,2,3:00,480.0
win,Welterweight,jon fitch,chris wilson,jon fitch,chris wilson,U-DEC,,3,5:00,900.0
win,Heavyweight,andrei arlovski,jake o'brien,andrei arlovski,jake o'brien,KO/TKO,Punches,2,4:17,557.0
win,Welterweight,luigi fioravanti,luke cummo,luigi fioravanti,luke cummo,U-DEC,,3,5:00,900.0
win,Welterweight,josh koscheck,dustin hazelett,josh koscheck,dustin hazelett,KO/TKO,Kick,2,1:24,384.0
win,Welterweight,diego sanchez,david bielkheden,diego sanchez,david bielkheden,KO/TKO,Punches,1,4:43,283.0
win,Lightweight,jorge gurgel,john halverson,jorge gurgel,john halverson,U-DEC,,3,5:00,900.0
win,Lightweight,bj penn,sean sherk,bj penn,sean sherk,KO/TKO,Flying Knee,3,5:00,900.0
win,Light Heavyweight,wanderlei silva,keith jardine,wanderlei silva,keith jardine,KO/TKO,Punch,1,0:36,36.0
win,Light Heavyweight,goran reljic,wilson gouveia,goran reljic,wilson gouveia,KO/TKO,Punch,2,3:15,495.0
win,Light Heavyweight,lyoto machida,tito ortiz,lyoto machida,tito ortiz,U-DEC,,3,5:00,900.0
win,Light Heavyweight,thiago silva,antonio mendes,thiago silva,antonio mendes,KO/TKO,Punches,1,2:24,144.0
win,Middleweight,rousimar palhares,ivan salaverry,rousimar palhares,ivan salaverry,SUB,Armbar,1,2:36,156.0
win,Light Heavyweight,rameau thierry sokoudjou,kazuhiro nakamura,rameau thierry sokoudjou,kazuhiro nakamura,KO/TKO,,1,5:00,300.0
win,Lightweight,rich clementi,terry etim,rich clementi,terry etim,U-DEC,,3,5:00,900.0
win,Welterweight,yoshiyuki yoshida,war machine,yoshiyuki yoshida,war machine,SUB,Anaconda Choke,1,0:56,56.0
win,Welterweight,dong hyun kim,jason tan,dong hyun kim,jason tan,KO/TKO,Elbows,3,0:25,625.0
win,Heavyweight,shane carwin,christian wellisch,shane carwin,christian wellisch,KO/TKO,Punch,1,0:44,44.0
win,Lightweight,kenny florian,joe lauzon,kenny florian,joe lauzon,KO/TKO,Punches,2,3:28,508.0
win,Lightweight,gray maynard,frankie edgar,gray maynard,frankie edgar,U-DEC,,3,5:00,900.0
win,Welterweight,thiago alves,karo parisyan,thiago alves,karo parisyan,KO/TKO,Knees,2,0:24,324.0
win,Light Heavyweight,matt hamill,tim boetsch,matt hamill,tim boetsch,KO/TKO,Punches,2,1:25,385.0
win,Lightweight,nate diaz,kurt pellegrino,nate diaz,kurt pellegrino,SUB,Triangle Choke,2,3:06,486.0
win,Light Heavyweight,james irvin,houston alexander,james irvin,houston alexander,KO/TKO,Punches,1,0:08,8.0
win,Lightweight,josh neer,din thomas,josh neer,din thomas,U-DEC,,3,5:00,900.0
win,Lightweight,marcus aurelio,ryan roberts,marcus aurelio,ryan roberts,SUB,Armbar,1,0:16,16.0
win,Lightweight,manvel gamburyan,jeff cox,manvel gamburyan,jeff cox,SUB,Guillotine Choke,1,1:41,101.0
win,Lightweight,clay guida,samy schiavo,clay guida,samy schiavo,KO/TKO,Punches,1,4:15,255.0
win,Welterweight,george sotiropoulos,roman mitichyan,george sotiropoulos,roman mitichyan,KO/TKO,Punches,2,2:24,444.0
win,Welterweight,anthony johnson,tommy speer,anthony johnson,tommy speer,KO/TKO,Punches,1,0:51,51.0
win,Heavyweight,antonio rodrigo nogueira,tim sylvia,antonio rodrigo nogueira,tim sylvia,SUB,Guillotine Choke,3,1:28,688.0
win,Heavyweight,frank mir,brock lesnar,frank mir,brock lesnar,SUB,Kneebar,1,1:30,90.0
win,Middleweight,nate marquardt,jeremy horn,nate marquardt,jeremy horn,SUB,Guillotine Choke,2,1:37,397.0
win,Middleweight,ricardo almeida,rob yundt,ricardo almeida,rob yundt,SUB,Guillotine Choke,1,1:08,68.0
win,Lightweight,tyson griffin,gleison tibau,tyson griffin,gleison tibau,U-DEC,,3,5:00,900.0
win,Welterweight,chris lytle,kyle bradley,chris lytle,kyle bradley,KO/TKO,Punches,1,0:33,33.0
win,Light Heavyweight,tim boetsch,david heath,tim boetsch,david heath,KO/TKO,Punches,1,4:52,292.0
win,Middleweight,marvin eastman,terry martin,marvin eastman,terry martin,U-DEC,,3,5:00,900.0
win,Lightweight,rob emerson,keita nakamura,rob emerson,keita nakamura,S-DEC,,3,5:00,900.0
win,Welterweight,georges st-pierre,matt serra,georges st-pierre,matt serra,KO/TKO,Knees,2,4:45,585.0
win,Middleweight,rich franklin,travis lutter,rich franklin,travis lutter,KO/TKO,Punches,2,3:01,481.0
win,Middleweight,nate quarry,kalib starnes,nate quarry,kalib starnes,U-DEC,,3,5:00,900.0
win,Middleweight,michael bisping,charles mccarthy,michael bisping,charles mccarthy,KO/TKO,Knees,1,5:00,300.0
win,Lightweight,mac danzig,mark bocek,mac danzig,mark bocek,SUB,Rear Naked Choke,3,3:48,828.0
win,Middleweight,jason macdonald,joe doerksen,jason macdonald,joe doerksen,KO/TKO,Elbows,2,0:54,354.0
win,Middleweight,jason day,alan belcher,jason day,alan belcher,KO/TKO,Punches,1,3:58,238.0
win,Middleweight,demian maia,ed herman,demian maia,ed herman,SUB,Triangle Choke,2,2:27,447.0
win,Lightweight,rich clementi,sam stout,rich clementi,sam stout,S-DEC,,3,5:00,900.0
win,Heavyweight,cain velasquez,brad morris,cain velasquez,brad morris,KO/TKO,Punches,1,2:10,130.0
win,Welterweight,jonathan goulet,kuniyoshi hironaka,jonathan goulet,kuniyoshi hironaka,KO/TKO,Punch,2,2:07,427.0
win,Welterweight,thiago alves,matt hughes,thiago alves,matt hughes,KO/TKO,Flying Knee,2,1:02,362.0
win,Middleweight,michael bisping,jason day,michael bisping,jason day,KO/TKO,Punches,1,3:42,222.0
win,Welterweight,mike swick,marcus davis,mike swick,marcus davis,U-DEC,,3,5:00,900.0
win,Middleweight,thales leites,nate marquardt,thales leites,nate marquardt,S-DEC,,3,5:00,900.0
win,Heavyweight,fabricio werdum,brandon vera,fabricio werdum,brandon vera,KO/TKO,Punches,1,4:40,280.0
win,Middleweight,martin kampmann,jorge rivera,martin kampmann,jorge rivera,SUB,Guillotine Choke,1,2:44,164.0
win,Lightweight,matt wiman,thiago tavares,matt wiman,thiago tavares,KO/TKO,Punches,2,1:57,417.0
win,Welterweight,kevin burns,roan carneiro,kevin burns,roan carneiro,SUB,Triangle Choke,2,3:50,530.0
win,Light Heavyweight,luiz cane,jason lambert,luiz cane,jason lambert,KO/TKO,Punches,1,2:07,127.0
win,Welterweight,paul taylor,jess liaudin,paul taylor,jess liaudin,S-DEC,,3,5:00,900.0
win,Heavyweight,antoni hardonk,eddie sanchez,antoni hardonk,eddie sanchez,KO/TKO,Punch,2,4:15,555.0
win,Light Heavyweight,forrest griffin,quinton jackson,forrest griffin,quinton jackson,U-DEC,,5,5:00,1500.0
win,Middleweight,patrick cote,ricardo almeida,patrick cote,ricardo almeida,S-DEC,,3,5:00,900.0
win,Lightweight,joe stevenson,gleison tibau,joe stevenson,gleison tibau,SUB,Guillotine Choke,2,2:57,477.0
win,Welterweight,josh koscheck,chris lytle,josh koscheck,chris lytle,U-DEC,,3,5:00,900.0
win,Lightweight,tyson griffin,marcus aurelio,tyson griffin,marcus aurelio,U-DEC,,3,5:00,900.0
win,Heavyweight,gabriel gonzaga,justin mccully,gabriel gonzaga,justin mccully,SUB,Kimura,1,1:57,117.0
win,Lightweight,cole miller,jorge gurgel,cole miller,jorge gurgel,SUB,Triangle Choke,3,4:48,888.0
win,Lightweight,melvin guillard,dennis siver,melvin guillard,dennis siver,KO/TKO,Punches,1,0:36,36.0
win,Lightweight,justin buchholz,corey hill,justin buchholz,corey hill,SUB,Rear Naked Choke,2,3:57,537.0
win,Middleweight,kendall grove,evan tanner,kendall grove,evan tanner,S-DEC,,3,5:00,900.0
win,Middleweight,amir sadollah,cb dollaway,amir sadollah,cb dollaway,SUB,Armbar,1,3:02,182.0
win,Welterweight,diego sanchez,luigi fioravanti,diego sanchez,luigi fioravanti,KO/TKO,Flying Knee,3,4:07,847.0
win,Lightweight,spencer fisher,jeremy stephens,spencer fisher,jeremy stephens,U-DEC,,3,5:00,900.0
win,Middleweight,matthew riddle,dante rivera,matthew riddle,dante rivera,U-DEC,,3,5:00,900.0
win,Welterweight,dustin hazelett,joshua burkman,dustin hazelett,joshua burkman,SUB,Armbar,2,4:46,586.0
win,Middleweight,drew mcfedries,marvin eastman,drew mcfedries,marvin eastman,KO/TKO,Punches,1,1:08,68.0
win,Welterweight,matt brown,matt arroyo,matt brown,matt arroyo,KO/TKO,Punches,2,3:40,520.0
win,Middleweight,dean lister,jeremy horn,dean lister,jeremy horn,SUB,Guillotine Choke,1,3:52,232.0
win,Middleweight,rob kimmons,rob yundt,rob kimmons,rob yundt,SUB,Guillotine Choke,1,3:58,238.0
win,Light Heavyweight,anderson silva,james irvin,anderson silva,james irvin,KO/TKO,Punch,1,1:01,61.0
win,Light Heavyweight,brandon vera,reese andy,brandon vera,reese andy,U-DEC,,3,5:00,900.0
win,Lightweight,frankie edgar,hermes franca,frankie edgar,hermes franca,U-DEC,,3,5:00,900.0
win,Heavyweight,cain velasquez,jake o'brien,cain velasquez,jake o'brien,KO/TKO,Punches,1,2:02,122.0
win,Welterweight,kevin burns,anthony johnson,kevin burns,anthony johnson,KO/TKO,,3,3:35,815.0
win,Middleweight,cb dollaway,jesse taylor,cb dollaway,jesse taylor,SUB,Peruvian Necktie,1,3:58,238.0
win,Middleweight,tim credeur,cale yarbrough,tim credeur,cale yarbrough,KO/TKO,Punches,1,1:54,114.0
win,Welterweight,rory markham,brodie farber,rory markham,brodie farber,KO/TKO,Kick,1,1:37,97.0
win,Middleweight,nate loughran,johnny rees,nate loughran,johnny rees,SUB,Triangle Choke,1,4:21,261.0
win,Welterweight,brad blackburn,james giboo,brad blackburn,james giboo,KO/TKO,Punches,2,2:29,449.0
win,Lightweight,shannon gugerty,dale hartt,shannon gugerty,dale hartt,SUB,Rear Naked Choke,1,3:33,213.0
win,Light Heavyweight,rashad evans,chuck liddell,rashad evans,chuck liddell,KO/TKO,Punch,2,1:51,411.0
win,Light Heavyweight,rich franklin,matt hamill,rich franklin,matt hamill,KO/TKO,Kick,3,0:39,639.0
win,Middleweight,dan henderson,rousimar palhares,dan henderson,rousimar palhares,U-DEC,,3,5:00,900.0
win,Middleweight,nate marquardt,martin kampmann,nate marquardt,martin kampmann,KO/TKO,Punches,1,1:22,82.0
win,Welterweight,dong hyun kim,matt brown,dong hyun kim,matt brown,S-DEC,,3,5:00,900.0
win,Lightweight,kurt pellegrino,thiago tavares,kurt pellegrino,thiago tavares,U-DEC,,3,5:00,900.0
win,Light Heavyweight,tim boetsch,michael patt,tim boetsch,michael patt,KO/TKO,Punches,1,2:03,123.0
win,Middleweight,jason macdonald,jason lambert,jason macdonald,jason lambert,SUB,Rear Naked Choke,2,1:20,380.0
win,Welterweight,ryo chonan,roan carneiro,ryo chonan,roan carneiro,S-DEC,,3,5:00,900.0
win,Welterweight,georges st-pierre,jon fitch,georges st-pierre,jon fitch,U-DEC,,5,5:00,1500.0
win,Heavyweight,brock lesnar,heath herring,brock lesnar,heath herring,U-DEC,,3,5:00,900.0
win,Lightweight,rob emerson,manvel gamburyan,rob emerson,manvel gamburyan,KO/TKO,Punch,1,0:12,12.0
win,Lightweight,kenny florian,roger huerta,kenny florian,roger huerta,U-DEC,,3,5:00,900.0
win,Middleweight,demian maia,jason macdonald,demian maia,jason macdonald,SUB,Rear Naked Choke,3,2:44,764.0
win,Welterweight,tamdan mccrory,luke cummo,tamdan mccrory,luke cummo,U-DEC,,3,5:00,900.0
win,Heavyweight,cheick kongo,dan evensen,cheick kongo,dan evensen,KO/TKO,Punch,1,4:55,295.0
win,Light Heavyweight,jon jones,andre gusmao,jon jones,andre gusmao,U-DEC,,3,5:00,900.0
win,Welterweight,chris wilson,steve bruno,chris wilson,steve bruno,U-DEC,,3,5:00,900.0
win,Welterweight,ben saunders,ryan thomas,ben saunders,ryan thomas,SUB,Armbar,2,2:28,448.0
win,Lightweight,nate diaz,josh neer,nate diaz,josh neer,S-DEC,,3,5:00,900.0
win,Lightweight,clay guida,mac danzig,clay guida,mac danzig,U-DEC,,3,5:00,900.0
win,Middleweight,alan belcher,ed herman,alan belcher,ed herman,S-DEC,,3,5:00,900.0
win,Light Heavyweight,eric schafer,houston alexander,eric schafer,houston alexander,SUB,Arm Triangle,1,4:53,293.0
win,Middleweight,alessio sakara,joe vedepo,alessio sakara,joe vedepo,KO/TKO,Kick,1,1:27,87.0
win,Middleweight,wilson gouveia,ryan jensen,wilson gouveia,ryan jensen,SUB,Armbar,2,2:04,424.0
win,Lightweight,joe lauzon,kyle bradley,joe lauzon,kyle bradley,KO/TKO,Punches,2,1:34,394.0
win,Light Heavyweight,jason brilz,brad morris,jason brilz,brad morris,KO/TKO,Punches,2,2:54,474.0
win,Middleweight,mike massenzio,drew mcfedries,mike massenzio,drew mcfedries,SUB,Kimura,1,1:28,88.0
win,Middleweight,dan miller,rob kimmons,dan miller,rob kimmons,SUB,Rear Naked Choke,1,1:27,87.0
win,Heavyweight,brock lesnar,randy couture,brock lesnar,randy couture,KO/TKO,Punches,2,3:07,487.0
win,Lightweight,kenny florian,joe stevenson,kenny florian,joe stevenson,SUB,Rear Naked Choke,1,4:03,243.0
win,Welterweight,dustin hazelett,tamdan mccrory,dustin hazelett,tamdan mccrory,SUB,Armbar,1,3:59,239.0
win,Heavyweight,gabriel gonzaga,josh hendricks,gabriel gonzaga,josh hendricks,KO/TKO,Punch,1,1:01,61.0
win,Middleweight,demian maia,nate quarry,demian maia,nate quarry,SUB,Rear Naked Choke,1,2:13,133.0
win,Lightweight,aaron riley,jorge gurgel,aaron riley,jorge gurgel,U-DEC,,3,5:00,900.0
win,Lightweight,jeremy stephens,rafael dos anjos,jeremy stephens,rafael dos anjos,KO/TKO,Punch,3,0:39,639.0
win,Lightweight,mark bocek,alvin robinson,mark bocek,alvin robinson,SUB,Rear Naked Choke,3,3:16,796.0
win,Welterweight,matt brown,ryan thomas,matt brown,ryan thomas,SUB,Armbar,2,0:57,357.0
win,Middleweight,michael bisping,chris leben,michael bisping,chris leben,U-DEC,,3,5:00,900.0
win,Light Heavyweight,keith jardine,brandon vera,keith jardine,brandon vera,S-DEC,,3,5:00,900.0
win,Light Heavyweight,luiz cane,rameau thierry sokoudjou,luiz cane,rameau thierry sokoudjou,KO/TKO,Punches,2,4:15,555.0
win,Welterweight,chris lytle,paul taylor,chris lytle,paul taylor,U-DEC,,3,5:00,900.0
win,Welterweight,marcus davis,paul kelly,marcus davis,paul kelly,SUB,Guillotine Choke,2,2:16,436.0
win,Welterweight,dan hardy,akihiro gono,dan hardy,akihiro gono,S-DEC,,3,5:00,900.0
win,Heavyweight,shane carwin,neil wain,shane carwin,neil wain,KO/TKO,Punches,1,1:31,91.0
win,Lightweight,david bielkheden,jess liaudin,david bielkheden,jess liaudin,U-DEC,,3,5:00,900.0
win,Lightweight,terry etim,sam stout,terry etim,sam stout,U-DEC,,3,5:00,900.0
win,Lightweight,jim miller,david baron,jim miller,david baron,SUB,Rear Naked Choke,3,3:19,799.0
win,Lightweight,per eklund,samy schiavo,per eklund,samy schiavo,SUB,Rear Naked Choke,3,1:47,707.0
win,Middleweight,anderson silva,patrick cote,anderson silva,patrick cote,KO/TKO,,3,0:39,639.0
win,Welterweight,thiago alves,josh koscheck,thiago alves,josh koscheck,U-DEC,,3,5:00,900.0
win,Lightweight,gray maynard,rich clementi,gray maynard,rich clementi,U-DEC,,3,5:00,900.0
win,Heavyweight,junior dos santos,fabricio werdum,junior dos santos,fabricio werdum,KO/TKO,Punch,1,1:21,81.0
win,Lightweight,sean sherk,tyson griffin,sean sherk,tyson griffin,U-DEC,,3,5:00,900.0
win,Middleweight,thales leites,drew mcfedries,thales leites,drew mcfedries,SUB,Rear Naked Choke,1,1:18,78.0
win,Lightweight,spencer fisher,shannon gugerty,spencer fisher,shannon gugerty,SUB,Triangle Choke,3,3:56,836.0
win,Middleweight,dan miller,matt horwich,dan miller,matt horwich,U-DEC,,3,5:00,900.0
win,Lightweight,hermes franca,marcus aurelio,hermes franca,marcus aurelio,U-DEC,,3,5:00,900.0
win,Welterweight,pete sell,joshua burkman,pete sell,joshua burkman,U-DEC,,3,5:00,900.0
win,Welterweight,josh koscheck,yoshiyuki yoshida,josh koscheck,yoshiyuki yoshida,KO/TKO,Punches,1,2:15,135.0
win,Welterweight,mike swick,jonathan goulet,mike swick,jonathan goulet,KO/TKO,Punch,1,0:33,33.0
win,Light Heavyweight,steve cantwell,razak al-hassan,steve cantwell,razak al-hassan,SUB,Armbar,1,4:04,244.0
win,Middleweight,tim credeur,nate loughran,tim credeur,nate loughran,KO/TKO,,2,5:00,600.0
win,Lightweight,jim miller,matt wiman,jim miller,matt wiman,U-DEC,,3,5:00,900.0
win,Catch Weight,luigi fioravanti,brodie farber,luigi fioravanti,brodie farber,U-DEC,,3,5:00,900.0
win,Welterweight,steve bruno,johnny rees,steve bruno,johnny rees,SUB,Rear Naked Choke,2,3:44,524.0
win,Welterweight,ben saunders,brandon wolff,ben saunders,brandon wolff,KO/TKO,Knees,1,1:49,109.0
win,Lightweight,dale hartt,corey hill,dale hartt,corey hill,KO/TKO,,2,0:20,320.0
win,Heavyweight,justin mccully,eddie sanchez,justin mccully,eddie sanchez,U-DEC,,3,5:00,900.0
win,Lightweight,efrain escudero,phillipe nover,efrain escudero,phillipe nover,U-DEC,,3,5:00,900.0
win,Light Heavyweight,ryan bader,vinny magalhaes,ryan bader,vinny magalhaes,KO/TKO,Punch,1,2:18,138.0
win,Welterweight,anthony johnson,kevin burns,anthony johnson,kevin burns,KO/TKO,Kick,3,0:28,628.0
win,Middleweight,wilson gouveia,jason macdonald,wilson gouveia,jason macdonald,KO/TKO,Elbow,1,2:18,138.0
win,Lightweight,junie browning,david kaplan,junie browning,david kaplan,SUB,Armbar,2,1:32,392.0
win,Light Heavyweight,krzysztof soszynski,shane primm,krzysztof soszynski,shane primm,SUB,Kimura,2,3:27,507.0
win,Light Heavyweight,eliot marshall,jules bruchez,eliot marshall,jules bruchez,SUB,Rear Naked Choke,1,1:27,87.0
win,Light Heavyweight,tom lawlor,kyle kingsbury,tom lawlor,kyle kingsbury,U-DEC,,3,5:00,900.0
win,Lightweight,shane nelson,george roop,shane nelson,george roop,S-DEC,,3,5:00,900.0
win,Lightweight,rolando delgado,john polakowski,rolando delgado,john polakowski,SUB,Guillotine Choke,2,2:18,438.0
win,Light Heavyweight,dan henderson,rich franklin,dan henderson,rich franklin,S-DEC,,3,5:00,900.0
win,Light Heavyweight,mauricio rua,mark coleman,mauricio rua,mark coleman,KO/TKO,Punches,3,4:36,876.0
win,Middleweight,rousimar palhares,jeremy horn,rousimar palhares,jeremy horn,U-DEC,,3,5:00,900.0
win,Middleweight,alan belcher,denis kang,alan belcher,denis kang,SUB,Guillotine Choke,2,4:36,576.0
win,Welterweight,marcus davis,chris lytle,marcus davis,chris lytle,S-DEC,,3,5:00,900.0
win,Welterweight,john hathaway,tom egan,john hathaway,tom egan,KO/TKO,Elbows,1,4:36,276.0
win,Welterweight,martin kampmann,alexandre barros,martin kampmann,alexandre barros,KO/TKO,Punches,2,3:09,489.0
win,Light Heavyweight,eric schafer,antonio mendes,eric schafer,antonio mendes,KO/TKO,Punches,1,3:35,215.0
win,Light Heavyweight,tomasz drwal,ivan serati,tomasz drwal,ivan serati,KO/TKO,Punches,1,2:02,122.0
